 #Line, #Time, #Iter	L2Norm MomentumX    L2Norm MomentumY    L2Norm ContiEq      L2Norm Total        
    97,    20,     1	2.505884E-001       4.317930E-001       1.599425E-003       4.992417E-001       
    98,    20,     2	2.734692E-004       4.869383E-005       3.612314E-013       2.777706E-004       
    99,    20,     3	9.694858E-007       4.266390E-007       2.472584E-013       1.059209E-006       
   100,    20,     4	3.596848E-009       1.063950E-009       2.656164E-013       3.750907E-009       
   101,    20,     5	7.297807E-011       7.498609E-012       3.736481E-013       7.336326E-011       
   102,    21,     1	2.467889E-001       4.121217E-001       1.702559E-003       4.803665E-001       
   103,    21,     2	2.663837E-004       4.487061E-005       1.371961E-013       2.701364E-004       
   104,    21,     3	9.358474E-007       4.233811E-007       7.616788E-014       1.027162E-006       
   105,    21,     4	3.513637E-009       1.013549E-009       1.772522E-013       3.656902E-009       
   106,    21,     5	2.938584E-011       5.365221E-012       7.705013E-014       2.987171E-011       
   107,    22,     1	2.314174E-001       3.839731E-001       1.244911E-003       4.483201E-001       
   108,    22,     2	2.592298E-004       4.154657E-005       1.597965E-013       2.625380E-004       
   109,    22,     3	9.022180E-007       4.176578E-007       8.175296E-014       9.942009E-007       
   110,    22,     4	3.423768E-009       9.601245E-010       1.231899E-013       3.555844E-009       
   111,    22,     5	3.827114E-011       5.086376E-012       8.365504E-014       3.860776E-011       
   112,    23,     1	2.294830E-001       3.809370E-001       1.190497E-003       4.447211E-001       
   113,    23,     2	2.525915E-004       3.861412E-005       4.286686E-014       2.555260E-004       
   114,    23,     3	8.717492E-007       4.097951E-007       3.496194E-014       9.632646E-007       
   115,    23,     4	3.326654E-009       9.151257E-010       2.937646E-014       3.450229E-009       
   116,    23,     5	3.046763E-011       4.822313E-012       3.989866E-014       3.084692E-011       
   117,    24,     1	2.267695E-001       3.816017E-001       1.159726E-003       4.438982E-001       
   118,    24,     2	2.460286E-004       3.599884E-005       2.180180E-014       2.486484E-004       
   119,    24,     3	8.425029E-007       4.000705E-007       2.623270E-014       9.326669E-007       
   120,    24,     4	3.223764E-009       8.744347E-010       3.441622E-014       3.340253E-009       
   121,    24,     5	2.080108E-011       4.608576E-012       2.625218E-014       2.130550E-011       
   122,    25,     1	2.240610E-001       3.856345E-001       1.145148E-003       4.460029E-001       
   123,    25,     2	2.395811E-004       3.365976E-005       2.400795E-014       2.419341E-004       
   124,    25,     3	8.147598E-007       3.889589E-007       3.227127E-014       9.028414E-007       
   125,    25,     4	3.116741E-009       8.365087E-010       5.123210E-014       3.227045E-009       
   126,    25,     5	2.814979E-011       4.389157E-012       3.009131E-014       2.848993E-011       
   127,    26,     1	2.225323E-001       3.950685E-001       1.146373E-003       4.534325E-001       
   128,    26,     2	2.332958E-004       3.158451E-005       5.343396E-014       2.354241E-004       
   129,    26,     3	7.884833E-007       3.769108E-007       2.861357E-014       8.739380E-007       
   130,    26,     4	3.007041E-009       8.015809E-010       3.426799E-014       3.112046E-009       
   131,    26,     5	2.782846E-011       4.168065E-012       4.219766E-014       2.813890E-011       
   132,    27,     1	2.358149E-001       4.093404E-001       1.536538E-002       4.726566E-001       
   133,    27,     2	3.946583E-004       3.040620E-005       1.016640E-013       3.958279E-004       
