2024-02-02 14:57:32,270 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Grid.Classic.GridData+CellData.InitializeCk (0.000674 sec, return to stack depth = 3)
2024-02-02 14:57:32,270 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Grid.Classic.GridData+CellData.Initialize_h new stack depth = 4
2024-02-02 14:57:32,271 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Comm.VectorTransceiver`2.TransceiveFinish new stack depth = 5
2024-02-02 14:57:32,271 INFO  BoSSS.Foundation.Comm.VectorTransceiver`2: transfer finished
2024-02-02 14:57:32,271 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Comm.VectorTransceiver`2.TransceiveFinish (0.0001584 sec, return to stack depth = 4)
2024-02-02 14:57:32,271 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Comm.VectorTransceiver`2.TransceiveFinish new stack depth = 5
2024-02-02 14:57:32,271 INFO  BoSSS.Foundation.Comm.VectorTransceiver`2: transfer finished
2024-02-02 14:57:32,271 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Comm.VectorTransceiver`2.TransceiveFinish (0.000155 sec, return to stack depth = 4)
2024-02-02 14:57:32,271 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Grid.Classic.GridData+CellData.Initialize_h (0.000529 sec, return to stack depth = 3)
2024-02-02 14:57:32,271 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Grid.Classic.GridData+VertexData.CollectVertices new stack depth = 4
2024-02-02 14:57:32,271 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Platform.Utils.Geom.PointLocalization..ctor new stack depth = 5
2024-02-02 14:57:32,271 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Platform.Utils.Geom.PointLocalization..ctor (0.0004167 sec, return to stack depth = 4)
2024-02-02 14:57:32,272 INFO  ilPSP.Tracing.FuncTrace: BLKENTER duplicate Point elimination new stack depth = 5
2024-02-02 14:57:32,272 INFO  ilPSP.Tracing.FuncTrace: LEAVING duplicate Point elimination (0.0003965 sec, return to stack depth = 4)
2024-02-02 14:57:32,272 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Grid.Classic.GridData+VertexData.CollectVertices (0.0010565 sec, return to stack depth = 3)
2024-02-02 14:57:32,272 INFO  ilPSP.Tracing.FuncTrace: ENTERING Init_VerticeToCell new stack depth = 4
2024-02-02 14:57:32,272 INFO  ilPSP.Tracing.FuncTrace: LEAVING Init_VerticeToCell (0.0001673 sec, return to stack depth = 3)
2024-02-02 14:57:32,272 INFO  ilPSP.Tracing.FuncTrace: ENTERING Init_PeriodicPairings new stack depth = 4
2024-02-02 14:57:32,272 INFO  ilPSP.Tracing.FuncTrace: LEAVING Init_PeriodicPairings (0.0002307 sec, return to stack depth = 3)
2024-02-02 14:57:32,273 INFO  ilPSP.Tracing.FuncTrace: ENTERING VertexData.NegogiateSharing new stack depth = 4
2024-02-02 14:57:32,273 INFO  ilPSP.Tracing.FuncTrace: BLKENTER DETERMINE_VERTEX_INDICES new stack depth = 5
2024-02-02 14:57:32,273 INFO  BoSSS.Foundation.Grid.Classic.GridData+VertexData: Ranks on other procs, iteration 0, continue? False
2024-02-02 14:57:32,273 INFO  ilPSP.Tracing.FuncTrace: LEAVING DETERMINE_VERTEX_INDICES (5.25E-05 sec, return to stack depth = 4)
2024-02-02 14:57:32,273 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Grid.Classic.GridData.NegotiateOwnership new stack depth = 5
2024-02-02 14:57:32,273 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Grid.Classic.GridData.NegotiateOwnership (0.0001867 sec, return to stack depth = 4)
2024-02-02 14:57:32,273 INFO  ilPSP.Tracing.FuncTrace: BLKENTER APPLY_PERMUTATION new stack depth = 5
2024-02-02 14:57:32,273 INFO  ilPSP.Tracing.FuncTrace: LEAVING APPLY_PERMUTATION (0.0001057 sec, return to stack depth = 4)
2024-02-02 14:57:32,273 INFO  ilPSP.Tracing.FuncTrace: LEAVING VertexData.NegogiateSharing (0.0005388 sec, return to stack depth = 3)
2024-02-02 14:57:32,273 INFO  BoSSS.Foundation.Grid.Classic.GridData: MEMORY STAT.: garbage collector memory: 277 Meg
2024-02-02 14:57:32,276 INFO  BoSSS.Foundation.Grid.Classic.GridData: MEMORY STAT.: working set memory: 826 Meg
2024-02-02 14:57:32,276 INFO  BoSSS.Foundation.Grid.Classic.GridData: MEMORY STAT.: peak working set memory: 826 Meg
2024-02-02 14:57:32,276 INFO  BoSSS.Foundation.Grid.Classic.GridData: calling garbage collector...
2024-02-02 14:57:32,308 INFO  BoSSS.Foundation.Grid.Classic.GridData: MEMORY STAT.: garbage collector memory: 54 Meg
2024-02-02 14:57:32,311 INFO  BoSSS.Foundation.Grid.Classic.GridData: MEMORY STAT.: working set memory: 830 Meg
2024-02-02 14:57:32,311 INFO  BoSSS.Foundation.Grid.Classic.GridData: MEMORY STAT.: peak working set memory: 833 Meg
2024-02-02 14:57:32,311 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Grid.Classic.GridData..ctor (0.0526186 sec, return to stack depth = 2)
2024-02-02 14:57:32,311 INFO  BoSSS.Solution.Application`1: loaded grid with 105 cells
2024-02-02 14:57:32,313 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Grid.Classic.GridCommons.Redistribute new stack depth = 3
2024-02-02 14:57:32,313 INFO  BoSSS.Foundation.Grid.Classic.GridCommons: Grid repartitioning method: METIS
2024-02-02 14:57:32,313 INFO  BoSSS.Foundation.Grid.Classic.GridCommons: Grid repartitioning options: 
2024-02-02 14:57:32,315 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Grid.Classic.GridCommons.ComputePartitionMETIS new stack depth = 4
2024-02-02 14:57:32,315 INFO  BoSSS.Foundation.Grid.Classic.GridCommons: Number of cell Weights: 0
2024-02-02 14:57:32,315 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Grid.Classic.GridCommons.ComputePartitionMETIS (0.0004156 sec, return to stack depth = 3)
2024-02-02 14:57:32,316 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Grid.Classic.GridCommons.Redistribute (0.0032853 sec, return to stack depth = 2)
2024-02-02 14:57:32,316 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Grid.IGrid_Extensions.EnsureMinimalBalance new stack depth = 3
2024-02-02 14:57:32,316 INFO  BoSSS.Foundation.Grid.IGrid_Extensions: Processor 0 contains 105 cells
2024-02-02 14:57:32,316 INFO  BoSSS.Foundation.Grid.IGrid_Extensions: All processors contain at least one cell - no re-balancing required.
2024-02-02 14:57:32,316 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Grid.IGrid_Extensions.EnsureMinimalBalance (0.0005075 sec, return to stack depth = 2)
2024-02-02 14:57:32,317 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Grid.Classic.GridData..ctor new stack depth = 3
2024-02-02 14:57:32,317 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Grid.Classic.GridData.CheckEdgeTagNames new stack depth = 4
2024-02-02 14:57:32,317 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Grid.Classic.GridData.CheckEdgeTagNames (0.0001346 sec, return to stack depth = 3)
2024-02-02 14:57:32,317 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Grid.Classic.GridCommons.CheckGridForNANorINF new stack depth = 4
2024-02-02 14:57:32,317 INFO  ilPSP.Tracing.FuncTrace: LEAVING BoSSS.Foundation.Grid.Classic.GridCommons.CheckGridForNANorINF (0.0001402 sec, return to stack depth = 3)
2024-02-02 14:57:32,317 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Grid.Classic.GridData.ParallelSetup new stack depth = 4
2024-02-02 14:57:32,317 INFO  ilPSP.Tracing.FuncTrace: ENTERING BoSSS.Foundation.Grid.Classic.GridCommons.GetCellNeighbourship new stack depth = 5
