 #Line, #Time, #Iter	L2Norm MomentumX    L2Norm MomentumY    L2Norm ContiEq      L2Norm Total        
   172,   172,     2	1.131016E-014       1.294225E-014       1.628560E-014       2.367789E-014       
   173,   173,     2	1.090351E-014       1.347137E-014       5.951079E-015       1.832429E-014       
   174,   174,     2	1.198347E-014       1.486595E-014       3.965413E-015       1.950191E-014       
   175,   175,     2	9.608702E-015       1.241938E-014       7.313425E-015       1.732208E-014       
   176,   176,     2	9.971054E-015       1.313128E-014       1.433883E-014       2.185073E-014       
   177,   177,     2	1.015947E-014       1.322555E-014       1.456260E-014       2.214045E-014       
   178,   178,     2	1.027877E-014       1.222346E-014       1.792657E-014       2.400891E-014       
   179,   179,     2	1.003858E-014       1.215738E-014       3.320736E-014       3.676008E-014       
   180,   180,     2	1.207946E-014       1.153595E-014       2.741769E-014       3.210484E-014       
   181,   181,     2	1.176280E-014       1.412697E-014       1.681002E-014       2.491007E-014       
   182,   182,     2	9.601820E-015       9.817316E-015       6.503131E-015       1.519425E-014       
   183,   183,     2	1.154756E-014       1.366374E-014       3.679769E-015       1.826430E-014       
   184,   184,     2	9.560941E-015       9.056944E-015       5.868722E-015       1.441810E-014       
   185,   185,     2	9.708901E-015       1.066128E-014       2.354225E-014       2.760730E-014       
   186,   186,     2	7.896556E-015       1.086407E-014       3.377995E-015       1.384899E-014       
   187,   187,     2	8.832719E-015       1.018632E-014       9.554620E-015       1.652480E-014       
   188,   188,     2	8.290317E-015       1.333079E-014       1.204318E-014       1.978579E-014       
   189,   189,     2	8.673833E-015       1.829912E-014       1.072735E-014       2.291657E-014       
   190,   190,     2	3.381080E-014       1.037650E-013       2.281171E-014       1.114932E-013       
   191,   191,     2	5.822386E-014       2.316126E-013       6.151189E-015       2.388980E-013       
   192,   192,     2	2.687642E-014       1.213507E-013       1.589107E-014       1.253031E-013       
   193,   193,     2	2.164549E-014       1.167616E-013       1.354269E-014       1.195208E-013       
   194,   194,     2	4.599629E-014       1.677739E-013       6.306666E-015       1.740790E-013       
   195,   195,     2	1.924539E-014       8.003926E-014       6.960491E-015       8.261426E-014       
   196,   196,     2	2.483456E-014       7.101431E-014       1.760433E-014       7.726383E-014       
   197,   197,     2	2.315169E-014       8.421067E-014       1.062894E-014       8.797961E-014       
   198,   198,     2	3.429967E-014       1.192730E-013       1.213358E-014       1.246986E-013       
   199,   199,     2	1.630249E-014       6.065332E-014       6.622644E-015       6.315423E-014       
   200,   200,     2	1.705050E-014       6.430822E-014       9.554643E-015       6.721278E-014       
